使用组织	编码	名称	规格型号	描述	物料分组	物料分组编码	数据状态	禁用状态	物料属性	存货类别	基本单位	已使用	当前版本	创建人	采购类别
大成集团	ER10-0220	汇川机器人视觉控制器	IRV0100-C1-X		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0221	圣天狗软件加密狗	72100168 加密狗		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0222	汇川500万黑白相机	INV3072-18GM   72100098		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0223	汇川16MM普通镜头	HC-LEN-06-1614J  72100157		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0224	单相隔离变压器	DBK3000VA  AC220V转AC220V		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0225	交换机	TP-LINK TL-SL1218MP 16口百兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0226	扫码枪	honewell 1902GHD		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0227	USB转接头	USB A型母头转B型公头		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0228	浩渡科技铜鼻子双芯热电阻	pt100 线长3500mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0229	网络直通头	SM-8005		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0230	DB9安装型9针插座	黑DB9公对公 ADB9MM-B		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0231	高绝缘单芯热电阻	PT100，压鼻式 线长3500mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0232	脚踏开关（带自锁）	FS-2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0233	单联旋转电位器	WH148 B1K 柄长15mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0234	京工电科直流电源滤波器	BU-3A-20		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0235	网口转接器			功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0236	海康威视红外网络摄像机	DS-2CD3145FDV2-I		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0237	霍克光源	HVZ-FCK480*450W 开孔背光源（480*450）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0238	红外温度传感器	MIK-AL-T1-D1-S1-C1-L1-E1	米科，24V供电，0-150℃，4-20mA输出	功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0239	红外温度传感器	SAX0A1	无锡世敖， 24V供电，0-150℃，4-20mA输出	功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0240	红外温度传感器	GasDNA-IR22-Z-N-Z（温度量程0--150℃，线缆长度5米）	韩国进口，24V供电，4-20mA输出	功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0242	发泰露点仪	FT80DP/RS485		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0243	卡固百叶窗风扇网罩	FU-9803 AP3 120*120mm 暖灰色		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		肖树园	
大成集团	ER10-0244	町洋直插式接线端子	DP2.5-TR（20A）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0245	町洋终端隔片	DP2.5C-TR		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0246	町洋分组隔片	AKSPS-004		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0247	町洋直插式接线端子	DP2.5（20A）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0248	町洋终端隔片	DP2.5C		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0249	町洋分组隔片	AKSPS-001		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0250	町洋直插式接线端子	DPP2.5（20A）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0251	町洋终端隔片	DP2.5C-TN		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0252	町洋分组隔片	AKSPS-003		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0253	町洋横联组件	DSD01-2.510N		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0254	町洋直插式地线接线端子	DP6-PE		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0255	町洋终端隔片	DP6C-YG		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0256	欧标插座	二插16A WA86Z13-16/DA		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0257	直流电源滤波器	BU-3A-20		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0258	相机	acA640-120gm 30万像素，黑白，GigE接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0259	镜头	HVHS1214J  12mm,低畸变，CCTV		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0260	深谷电子直流电源滤波器	SGDA1-3A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0261	艾瑞德温度采集模块	ARD-TP02		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0262	町洋终端隔片	DPP2.5C		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0263	友邦圆形裸端头	RNB 1.25-5		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0270	VGA音视频延长器	IPVA-200S		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0271	5口百兆交换机	TP-LINK TL-SF1005+		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0272	尚信安全光栅	STC20-A26N（附带连接线缆）		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0273	冠联通科技单相变压器	DGL11-10KVA 铝线材 1φ220V/1φ110V 容量10KVA		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0274	铂热电阻	ZP-PT100（1米连接线）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0275	DVI音视频延长器发射器	-	"卖家需附送DVI线，与主机相连那端为公头

链接：https://detail.tmall.com/item.htm?spm=a1z0d.6639537.1997196601.4.5b027484Th3enV&id=39039036555"	功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0276	24路温度采集模块	DC-KW-001		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0277	24路温度采集模块	DC-CJ-001		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0278	科业排插-X02A0160重复	KY-9915-4M		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0279	深圳深谷交流单相高性能滤波器	SGAH4-60A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0280	昆山西威联KT模块（大）	KT20		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0281	川宇读卡器	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0282	发泰露点仪	FT60SP-B3 需含温度湿度露点显示		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0283	上海上恒直流滤波器	SH220D-10		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0284	南通宏大磁粉离合器	ZKB25BN		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0285	霍克视觉相机	acA1300-75gm 130万像素，CMOS,黑白，GigE接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0286	霍克视觉镜头	HVHS5018J，50mm，CCTV		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0287	霍克视觉光源	HVL-FCK250X200W 开孔背光（250*200mm，白色）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0288	霍克视觉镜头	HVFAC5028，50mm，CCTV		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0289	霍克视觉光源	HVL-FCK350X350W 开孔背光（350*350mm，白色）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0290	霍克视觉光源控制器	HVL-APT2448-2T 模拟，2通道，可触发		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0291	霍克视觉镜头	HVFAC1618，16mm，CCTV		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0292	霍克视觉光源	HVL-L400X30W，条光源（发光面400*30mm， 白色）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0293	同安迪烟雾探测器	TAD-169		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0294	自耦变压器	DGL11-5KVA     单相220V变110V		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0295	好风凭真空计保护模块	HF5501		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0296	汇川机器人扩展IO	IRCB-1616ETND-BD		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0297	基恩士扫码枪	SR1000 (配5M线材，包括网线1根、IO控制线1根）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0298	浩渡科技双芯热电阻	pt100 线长700mm，外径5mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0299	全铜接触式调压器220v单相TDGC2-3kva5k7K10K20K自偶交流可调变压	指针数显：数显  电压范围：0-300V 调压器：TDGC2-5KVA		功能辅助器件	ER10	已审核	否	外购	原材料	件	否			
大成集团	ER10-0300	电源滤波器	SJD710D-6		功能辅助器件	ER10	已审核	否	外购	原材料	件	否			
大成集团	ER10-0301	霍克视觉相机	acA1300-60gm 130万像素，CMOS,黑白，GigE接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0302	町洋直插式接线端子	DP2.5-3L（20A）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0303	町洋终端隔片	DP2.5C-3L		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0304	町洋直插式接线端子	DP6（40A）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0305	町洋终端隔片	DP6C		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0306	町洋终端隔片	DSD01-610N		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0307	西威联穿墙板框架	KEL-64/1		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		邱康旭	
大成集团	ER10-0308	KT模块	KTF54		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0309	基恩士AC适配器	OP-87530		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0310	机器人扩展IO	IRCB-0016ETND-BD		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0311	机器人扩展IO	IRCB-1600END-BD		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0313	宝翔达温度变送器	voltage 15VDC;input  RTD Pt1000;output 0~10V;range 0~100度;accuracy 0.2％FS;带隔离		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		肖树园	
大成集团	ER10-0314	南通宏大磁粉离合器	ZKB25BNJ		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0315	南通宏大磁粉离合器底座	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0316	摩羯MOGE 4口USB扩展卡	MC2016		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0317	六线PT100			功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0318	VGA模块	VGA-200T		功能辅助器件	ER10	已审核	否	外购	原材料	件	否			
大成集团	ER10-0319	INTEL网卡	Intel82546芯片，PCI接口，千兆双口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0320	TE工业Mini I/O	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0321	锐明摄像头-小型	FD-HL03A-200W 直径：70mm,尾线：RJ45+DC	直径为70mm的小型摄像头	功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0322	智能电压/电流变送器	NHR-M31-X-28/X-31/3-D,0-5V输入信号，输出RS485、0-5V两路输出，24V电源供电		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0323	vga网线延长器朗恒一分二发射器VGA-S2路	VGA-S2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0324	vga网线延长器朗恒接收器	VGA-100H		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0325	上海上恒电源滤波器	SH610-10：单相双节增强型，10A，1共模，1差模，外形尺寸H5		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0326	上海上恒电源滤波器	SH710-10：单相三节增高性能，10A，2共模，1差模，外形尺寸J		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0327	基恩士支架（光谱共焦）	OP-88285		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0328	台湾湾MOXA摩莎卡串口卡	4口串口卡/RS232 含线		功能辅助器件	ER10	已审核	否	外购	原材料	件	否			
大成集团	ER10-0329	九家LED灯	5W 24V 白光 管长300mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		肖树园	
大成集团	ER10-0330	辐射报警仪	FS311		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0331	吸盘配件	M5-6（吸盘配件）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0332	8口千兆交换机	SMB-S1808G 8口千兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0333	叶轮水流指示器	SG-YL11-1,DN15		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0334	正泰电流表	42L6-A  200/5A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0335	正泰电流互感器	BH-0.66 200/5A    Φ50  0.5级		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0336	展翼科刷卡机	ZY288D		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0337	浩渡科技铝鼻子双芯热电阻	pt100，线长1250mm		功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0338	公牛排插	GN-602，5插位，3米线长		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0339	瑞蒙德热导式流量开关	RMD-FABG115-FN，配2米线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0340	昆山西威联穿墙板KT模块	KT 2/7  （7mm线径可用）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0341	昆山西威联穿墙板KT模块	KT 2/8  （8mm线径可用）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0342	海任安全光栅	E3A-1620（发光器、受光器各一根，不包含控制器）		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0343	羿沣信号隔离分配器	WFFP-1-3P 一分三信号隔离转换分配器，250KHZ输入频率，差分/集电极信号输入		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0344	海任安全光栅	E3A2420NN		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0345	闪迪CFast2读卡器	CFast2.0读卡器仅支持cfast 1DX2 XC15 XC10 CFast2.0专用读卡器		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0346	倍福内存卡	PLC 4G内存卡 （plc：CX-5140,CE系统）		功能辅助器件	ER10	已审核	否	外购	原材料	张	否			
大成集团	ER10-0347	浩渡科技铝鼻子双芯热电阻	pt100，线长3500mm		功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0348	海康威视工业相机	MV-CA050-10GM		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0349	海康威视机器视觉镜头	MVL-MF1220M-5MP		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0350	海康威视电源适配器	DSA-12PFG-12 FCH 120100，国标，12V1A,两线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0351	条形光源	P-BL-170-30-W		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0352	数字控制器	PM-D-24W24-2T		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0353	科业排插	5m		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0354	Basler相机	acA3800-10gm，黑白，1000万像素，1/2.3“ ，CMOS，10fps，含电源及网线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0355	海康镜头	MVL-MF1620M-5MP，定焦镜头，焦距16mm, 2/3”，C接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0356	辰科光源	SC-B-280X210W，面光，光源外壳280*210，发光面积268mm*198mm，白光，DC24V，底部背光源		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0357	辰科控制器	SC-CA-2424-2-T，光源模拟控制器，2通道，总功率24W，电流自适应,220V输入24V输出，含电源及光源延长线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0358	Basler相机	acA2500-14gm，黑白，500万像素，1/2.5” CMOS，14fps，含电源及网线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0359	海康镜头	MVL-MF2520M-5MP，定焦镜头，焦距35mm, 2/3”，C接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0360	辰科光源	SC-B-180X130W，面光，光源外壳180*130，发光面积168mm*118mm，白光，19W，DC24V，底部背光源		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0361	辰科光源	SC-B-280X130W，面光，光源外壳280*130，发光面积268mm*118mm，白光，DC24V，底部背光源		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0362	Basler相机	acA2500-14gm，黑白，500万像素，1/2.5” CMOS，14fps，含电源及网线，网线20米		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0363	公牛排插	602/5米/5排插		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0364	米朗RS485外置式变送模块	传感器到模块的线长3米，模块出来的线长1米		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0365	海康威视红外网络摄像机	DS-2CD3146FDWD-I		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0366	摄像头	MV-CE013-50GMGC		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0367	镜头	DSE-FA0802		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0368	光源	DSE-RT9090-X		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0369	控制器	DSE-AP24V-2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0370	基恩士微计感测头	LS-7070		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0371	基恩士控制器	LS-7001		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0372	韩国LS整流变压器	WY3P-7.5KW		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0373	霍尼韦尔扫描枪	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0374	浩渡科技高绝缘单芯热电阻	三线PT100，压鼻式，高绝缘型,线长5m，单支铝壳		功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0375	电子伺服变压器	SET-3000 3KW		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0376	海康工业相机	MV-CE013-50GM		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0377	环形光源	DSE-RT9090-W		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0378	千兆网卡	DSE-PCIE-DUAL		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0379	联瑞双网口网卡	LREC7212MT		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0380	深谷滤波器	SGAH4-40A²单相220V		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0381	深谷滤波器	SGAI4-60A²单相220V		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0382	深谷滤波器	SGAI4-200A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0383	深谷滤波器	SGFT4-60A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		肖树园	
大成集团	ER10-0384	浩渡科技铝鼻子双芯热电阻	pt100，线长1400mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0385	卡固风扇防水罩	FU-9803 BP2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0386	斯帕克固态中继端子台	SY214NN		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0387	Basler相机	acA3800-10gc，彩色，1000万像素，1/2.3〞，COMS,10fps,含电源及网线		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0388	晶庆光源	500*500mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0389	晶庆控制器	A240-4T-220/24	电压型，4T，240W，24V，电流自适应	功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0390	斯帕克固态端子台	SY213NN		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0391	正泰电流互感器	BH-0.66 300/5A    Φ50  0.5级		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0392	新大陆扫码枪	NLS-HR100		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0393	联瑞千兆双口服务器有线网卡	LR-LINK 联瑞PCIEX1千兆双口服务器有线网卡Intel82576芯片 LREC9212PT		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0394	欧普led灯管	T5一体（内附配件：卡簧、螺丝），白光，尺寸：0.6米  功率：7瓦  光通量：550lm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0395	正泰变压器	NDK-50 220/24		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0396	公牛排插	GN-606，三位孔，1.8米线长		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0397	镜头	HC-LEN-01-1614		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0398	光源	CST-DC2KHFS530510-Y60-W		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0399	控制器	CST-HAPS24500A-2T		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0400	机器人控制器附件	AC12P2-L3		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0401	机器人控制器附件	CST-D1-3-L1.8		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0402	海任安全光栅	E3A-0620NN 3米安装距离(发光器受光器各一根，不包含控制器)		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0403	一字激光定位灯（红色激光、红黑导线）	直径12mm 长40mm 红色激光 红黑导线 5V供电		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0404	施耐德断路器操作杆	LV432598		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0405	光源	CST-DC2KHFS480450-Y55 面光源480*450开孔背光 白光		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0406	光源控制器	HAPS24500A-1T   带触发控制		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0407	Basler相机	acA2500-14gm  相机-黑白500万-分辨率2592*1944-卷帘曝光-1/2.5cmos		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0408	艾瑞德温度过程控制模块	ARD-12TPT		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0409	三色LED灯管	ONN-X2M-B4-RYG-778，DC24V，共正		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0410	帝特VGA  2路延长器 200米以内	DT-7035		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0411	浩渡科技双头六芯热电阻	pt100，线长770mm		功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0412	小型空气加热器	QR-1200，1.2KW，0-120度可调		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0413	电子调压调速器	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0414	格林自动化智能PID调节器	CWP-C905-02，0-10V电压输入		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0415	远红外碳纤维加热器	功率700W，工作电压220V，瓷座式螺旋管，带外罩  外形30*8.5*4CM		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0416	发泰露点仪	FT60SP_B3/RS485		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0417	甬威五类直通网络模块			功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0418	甬威卡侬母座模块			功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0419	甬威卡侬公插头	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0420	10口交换机	TP-LINK TL-SF1010D 10口百兆交换机		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0421	基恩士支架	OP-88284		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0422	基恩士增设单元	CL-H100		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0423	基恩士中继单元	CL-H200		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0424	硅橡胶加热板带温控可调温硅胶电热板手机平板拆屏宝加热发热垫	100*150外置数显		功能辅助器件	ER10	已审核	否	外购	原材料	件	否			
大成集团	ER10-0425	35mm定焦镜头	SLV-FA3510A-10M		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0426	差分转集电极	差分转集电极 TTL 2CH 2通道，5V输入24V输出		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0427	汇川16路输入与16路NPN型输出通用IO	IRCB-1616-ETND-BD		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
